Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>"
3566749685,"May 25, 2020, 4:45:05 PM",Afternoon Run,Run,,627,2.5,,FALSE,,activities/3808170372.fit.gz,,,627,627,2503,10.39999962,3.992025614,13,16,-102.8000031,15.19999981,4.099999905,-0.151817814,,,87,84.97257996,,,,,167,,17,,,,,,,,,,,,,,0,,1,2505,,,,,,,,,,,,,,,,,,,,,,,,,,,
3566750271,"May 26, 2020, 2:31:24 PM",Afternoon Run,Run,,1512,5,,FALSE,,activities/3808170991.fit.gz,,,1512,1512,5000.100098,4.099999905,3.30694437,38,39,-148.3999939,32.20000076,14.5,-0.01599968,,,87,83.07855988,,,,,349,,23,,,,,,,,,,,,,,0,,1,5036.600098,,,,,,,,,,,,,,,,,,,,,,,,,,,
3566750866,"Jun 1, 2020, 9:03:59 AM",Morning Run,Run,,1512,5,,FALSE,,activities/3808171611.fit.gz,,,1512,1472,5005.600098,4.300000191,3.400543451,35,37,20,34,20.5,-0.00799105,,,85,82.15023804,,,,,346,,25,,,,,,,,,,,,,,0,,1,5056,,,,,,,,,,,,,,,,,,,,,,,,,,,
3566751433,"Jun 5, 2020, 10:21:08 AM",Lunch Run,Run,,938,3.1,,FALSE,,activities/3808172172.fit.gz,,,938,923,3099.699951,4.800000191,3.358288288,33,132,86.40000153,198,7.599999905,-3.226118565,,,85,82.21800232,,,,,211,,21,,,,,,,,,,,,,,0,,1,3353,,,,,,,,,,,,,,,,,,,,,,,,,,,
3570926649,"Jun 6, 2020, 8:45:06 AM",Morning Run,Run,,2030,6.49,,FALSE,,activities/3812593451.fit.gz,,,2030,2024,6491,4.300000191,3.207015753,51,52,-4.800000191,68,13,-0.012324757,,,88,84.70870972,,,,,449,,16,,,,,,,,,,,,,,0,,1,6542.399902,,,,,,,,,,,,,,,,,,,,,,,,,,,
3612625171,"Jun 14, 2020, 10:11:45 AM",Lunch Run,Run,,3159,10,,FALSE,,activities/3856662494.fit.gz,,,3159,3159,10002.5,6.099999905,3.166350126,93,89,19.60000038,44.40000153,13.5,0.027993001,,,86,83.14910889,,,,,689,,22,,,,,,,,,,,,,,0,,1,10170.2998,,,,,,,,,,,,,,,,,,,,,,,,,,,
3625467909,"Jun 16, 2020, 7:06:47 PM",Evening Run,Run,,1529,5.01,,FALSE,,activities/3870334105.fit.gz,,,1529,1529,5015.299805,4.199999809,3.28011775,31,33,6.599999905,34.20000076,11.69999981,0,,,84,81.97731781,,,,,348,,19,,,,,,,,,,,,,,0,,1,5054.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
3628536545,"Jun 17, 2020, 12:16:22 PM",Afternoon Run,Run,,1241,4,,FALSE,,activities/3873648686.fit.gz,,,1241,1241,4002.5,4.5,3.225221634,34,29,26.79999924,40.59999847,26.89999962,0.119925044,,,86,82.80065918,,,,,274,,18,,,,,,,,,,,,,,0,,1,4062.600098,,,,,,,,,,,,,,,,,,,,,,,,,,,
3916520976,"Aug 8, 2020, 4:48:44 PM",Afternoon Ride,Ride,,4134,22.78,,FALSE,,activities/4192096633.fit.gz,,,4134,3573,22788.30078,10,6.377917767,137,133,-29,42.20000076,49.59999847,0.020185797,,,,,,,,83.26056671,564,,24,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3916522446,"Aug 15, 2020, 12:43:36 PM",Afternoon Ride,Ride,,3527,13.91,,FALSE,,activities/4192098295.fit.gz,,,3527,2700,13912.59961,7.900000095,5.152814865,80,78,25.39999962,88.40000153,4.900000095,0.014375458,,,,,,,,55.70037079,306,,25,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
